# log10T[GeV] log10chi[GeV^4]
-2.000000000000000000e+00 -4.488212195074058997e+00
-1.974978573184649866e+00 -4.488212197273814041e+00
-1.949957146369299732e+00 -4.488212202129225226e+00
-1.924935719553949598e+00 -4.488212212407347579e+00
-1.899914292738599464e+00 -4.488212233322830258e+00
-1.874892865923249330e+00 -4.488212274330273033e+00
-1.849871439107899196e+00 -4.488212351958556390e+00
-1.824850012292549062e+00 -4.488212494129865782e+00
-1.799828585477198928e+00 -4.488212746515124252e+00
-1.774807158661848794e+00 -4.488213181583165401e+00
-1.749785731846498660e+00 -4.488213911092682196e+00
-1.724764305031148526e+00 -4.488215102843151172e+00
-1.699742878215798392e+00 -4.488217002534490518e+00
-1.674721451400448480e+00 -4.488219961579543060e+00
-1.649700024585098124e+00 -4.488224471666667270e+00
-1.624678597769748212e+00 -4.488231206784289995e+00
-1.599657170954397856e+00 -4.488241073299909623e+00
-1.574635744139047944e+00 -4.488255268537209908e+00
-1.549614317323697588e+00 -4.488275348114537877e+00
-1.524592890508347676e+00 -4.488303302080388413e+00
-1.499571463692997320e+00 -4.488341639564433549e+00
-1.474550036877647408e+00 -4.488393481170876775e+00
-1.449528610062297052e+00 -4.488462657521963273e+00
-1.424507183246947140e+00 -4.488553810961986024e+00
-1.399485756431597006e+00 -4.488672495070744617e+00
-1.374464329616246872e+00 -4.488825262770082425e+00
-1.349442902800896738e+00 -4.489019727791312420e+00
-1.324421475985546603e+00 -4.489264575613394648e+00
-1.299400049170196469e+00 -4.489569489155091020e+00
-1.274378622354846335e+00 -4.489944945042990021e+00
-1.249357195539496201e+00 -4.490401839607494061e+00
-1.224335768724146067e+00 -4.490950949256180991e+00
-1.199314341908795933e+00 -4.491602383332648607e+00
-1.174292915093445799e+00 -4.492365578866774456e+00
-1.149271488278095665e+00 -4.493251234530811544e+00
-1.124250061462745531e+00 -4.494278167733109619e+00
-1.099228634647395397e+00 -4.495490567267662385e+00
-1.074207207832045263e+00 -4.496994092229567030e+00
-1.049185781016695129e+00 -4.499021155546818029e+00
-1.024164354201344995e+00 -4.502033864568037558e+00
-9.991429273859948612e-01 -4.506865579961550239e+00
-9.741215005706447272e-01 -4.514890142241485549e+00
-9.491000737552945932e-01 -4.528193387292332339e+00
-9.240786469399444591e-01 -4.549698373234739357e+00
-8.990572201245943251e-01 -4.583150325534171010e+00
-8.740357933092441911e-01 -4.632812114044948970e+00
-8.490143664938940571e-01 -4.702741755541208768e+00
-8.239929396785439231e-01 -4.795742261408811657e+00
-7.989715128631940111e-01 -4.912436696682112469e+00
-7.739500860478438771e-01 -5.051044650623866872e+00
-7.489286592324937430e-01 -5.208022186996595693e+00
-7.239072324171436090e-01 -5.379137219735058650e+00
-6.988858056017934750e-01 -5.560396878880184524e+00
-6.738643787864433410e-01 -5.748542840152333966e+00
-6.488429519710932070e-01 -5.941161335935328580e+00
-6.238215251557430729e-01 -6.136579536983149730e+00
-5.988000983403929389e-01 -6.333691942005036601e+00
-5.737786715250428049e-01 -6.531793767773581116e+00
-5.487572447096926709e-01 -6.730448901927821304e+00
-5.237358178943425369e-01 -6.929394956235481295e+00
-4.987143910789924028e-01 -7.128478807868552813e+00
-4.736929642636422688e-01 -7.327614441189305161e+00
-4.486715374482921348e-01 -7.526756098764939118e+00
-4.236501106329420008e-01 -7.725881541329714608e+00
-3.986286838175918668e-01 -7.924981810006288541e+00
-3.736072570022417327e-01 -8.124055089484469860e+00
-3.485858301868915987e-01 -8.323103114961719839e+00
-3.235644033715414647e-01 -8.522129131783486855e+00
-2.985429765561913307e-01 -8.721136786376687766e+00
-2.735215497408411411e-01 -8.920129564066488825e+00
-2.485001229254910904e-01 -9.119110539229982493e+00
-2.234786961101409009e-01 -9.318082296899103056e+00
-1.984572692947907946e-01 -9.517046942800687859e+00
-1.734358424794406328e-01 -9.716006154154239738e+00
-1.484144156640905543e-01 -9.914961244814410435e+00
-1.233929888487403648e-01 -1.011391323091995176e+01
-9.837156203339028626e-02 -1.031286289047331728e+01
-7.335013521804009673e-02 -1.051181081433255393e+01
-4.832870840269000434e-02 -1.071075744825277276e+01
-2.330728158733985644e-02 -1.090970312666608777e+01
1.714145228010299045e-03 -1.110864809931859654e+01
2.673557204336022078e-02 -1.130759255197818192e+01
5.175699885871053174e-02 -1.150653662235536423e+01
7.677842567406048535e-02 -1.170548041223571190e+01
1.017998524894107998e-01 -1.190442399665895401e+01
1.268212793047607256e-01 -1.210336743082237732e+01
1.518427061201110817e-01 -1.230231075524692841e+01
1.768641329354609937e-01 -1.250125399962682948e+01
2.018855597508113220e-01 -1.270019718568797273e+01
2.269069865661612895e-01 -1.289914032930354715e+01
2.519284133815116178e-01 -1.309808344205582387e+01
2.769498401968615298e-01 -1.329702653238622823e+01
3.019712670122119413e-01 -1.349596960644055521e+01
3.269926938275617423e-01 -1.369491266868887180e+01
3.520141206429121539e-01 -1.389385572237955913e+01
3.770355474582620658e-01 -1.409279876987123714e+01
4.020569742736119223e-01 -1.429174181287517342e+01
4.270784010889623894e-01 -1.449068485263208572e+01
4.520998279043122459e-01 -1.468962789004091185e+01
4.771212547196624354e-01 -1.488857092575259955e+01
